# Hayabusa2 data processed
#=================================================================================================================================================================================================
# |------ Spacecraft ------| |------ Earth ------| |------ 1999JU3 ------|
# UTC L+ X Y Z X Y Z X Y Z Rs Re Ra Vs Ve alpha delta Dflt
# [day] [au] [au] [au] [au] [au] [au] [au] [au] [au] [10^4km] [10^4km] [10^4km] [km/s] [km/s] [deg] [deg] [10^4km]
#--------1---------------2--------3---------4---------5---------6---------7---------8---------9---------10--------11--------12---------13---------14-------15-------16-------17-------18-----19----
2015/01/25.05:00:00 53.0 -0.531007 0.910837 -0.095909 -0.560181 0.809540 -0.000025 -0.191252 -1.380906 0.026189 15837.5 2131.7 34706.8 28.12 4.99 77.45 -19.55 13324.1
2015/01/26.05:00:00 54.0 -0.545381 0.903417 -0.097229 -0.574519 0.799554 -0.000024 -0.178369 -1.383687 0.027539 15853.5 2172.3 34702.5 28.09 5.01 77.73 -19.25 13566.9
2015/01/27.05:00:00 55.0 -0.559620 0.895771 -0.098525 -0.588678 0.789320 -0.000023 -0.165467 -1.386317 0.028887 15869.3 2212.8 34697.4 28.06 5.02 78.01 -18.95 13809.5
2015/01/28.05:00:00 56.0 -0.573720 0.887904 -0.099797 -0.602653 0.778843 -0.000022 -0.152547 -1.388797 0.030231 15884.8 2253.2 34691.4 28.03 5.04 78.30 -18.65 14051.8
2015/01/29.05:00:00 57.0 -0.587678 0.879817 -0.101044 -0.616440 0.768125 -0.000021 -0.139611 -1.391127 0.031571 15900.0 2293.7 34684.6 28.00 5.06 78.60 -18.35 14293.8
2015/01/30.05:00:00 58.0 -0.601492 0.871513 -0.102266 -0.630035 0.757171 -0.000021 -0.126659 -1.393306 0.032909 15915.0 2334.1 34676.8 27.97 5.08 78.91 -18.04 14535.6
2015/01/31.05:00:00 59.0 -0.615158 0.862995 -0.103463 -0.643435 0.745985 -0.000020 -0.113694 -1.395334 0.034243 15929.8 2374.4 34668.2 27.95 5.09 79.22 -17.74 14777.2
2015/02/01.05:00:00 60.0 -0.628673 0.854266 -0.104634 -0.656636 0.734569 -0.000019 -0.100716 -1.397212 0.035573 15944.3 2414.7 34658.8 27.92 5.11 79.54 -17.44 15018.5
2015/02/02.05:00:00 61.0 -0.642034 0.845327 -0.105780 -0.669634 0.722927 -0.000019 -0.087728 -1.398940 0.036899 15958.5 2454.9 34648.5 27.89 5.13 79.86 -17.13 15259.6
2015/02/03.05:00:00 62.0 -0.655239 0.836183 -0.106900 -0.682425 0.711063 -0.000019 -0.074730 -1.400517 0.038222 15972.5 2495.1 34637.2 27.87 5.15 80.19 -16.83 15500.5
2015/02/04.05:00:00 63.0 -0.668284 0.826835 -0.107994 -0.695007 0.698980 -0.000019 -0.061725 -1.401945 0.039540 15986.1 2535.2 34625.2 27.84 5.17 80.53 -16.53 15741.1
2015/02/05.05:00:00 64.0 -0.681168 0.817287 -0.109062 -0.707375 0.686683 -0.000019 -0.048712 -1.403223 0.040854 15999.6 2575.3 34612.2 27.82 5.20 80.88 -16.22 15981.5
2015/02/06.05:00:00 65.0 -0.693887 0.807541 -0.110104 -0.719525 0.674174 -0.000019 -0.035695 -1.404350 0.042164 16012.7 2615.3 34598.4 27.79 5.22 81.23 -15.92 16221.8
2015/02/07.05:00:00 66.0 -0.706438 0.797600 -0.111119 -0.731455 0.661457 -0.000019 -0.022673 -1.405329 0.043469 16025.6 2655.3 34583.7 27.77 5.24 81.58 -15.62 16461.8
2015/02/08.05:00:00 67.0 -0.718819 0.787467 -0.112107 -0.743161 0.648537 -0.000019 -0.009649 -1.406157 0.044769 16038.2 2695.2 34568.2 27.74 5.26 81.95 -15.31 16701.6
2015/02/09.05:00:00 68.0 -0.731028 0.777145 -0.113068 -0.754639 0.635417 -0.000019 0.003375 -1.406836 0.046065 16050.5 2735.0 34551.8 27.72 5.29 82.32 -15.01 16941.2
2015/02/10.05:00:00 69.0 -0.743062 0.766637 -0.114002 -0.765886 0.622100 -0.000019 0.016400 -1.407366 0.047356 16062.6 2774.8 34534.5 27.70 5.32 82.69 -14.71 17180.6
2015/02/11.05:00:00 70.0 -0.754917 0.755946 -0.114909 -0.776898 0.608591 -0.000019 0.029423 -1.407747 0.048642 16074.3 2814.5 34516.3 27.68 5.34 83.07 -14.40 17419.8
2015/02/12.05:00:00 71.0 -0.766593 0.745074 -0.115788 -0.787673 0.594893 -0.000019 0.042442 -1.407979 0.049923 16085.8 2854.2 34497.3 27.65 5.37 83.46 -14.10 17658.8
2015/02/13.05:00:00 72.0 -0.778087 0.734025 -0.116640 -0.798205 0.581011 -0.000019 0.055457 -1.408062 0.051198 16097.0 2893.8 34477.4 27.63 5.40 83.85 -13.80 17897.7
2015/02/14.05:00:00 73.0 -0.789395 0.722801 -0.117464 -0.808494 0.566950 -0.000019 0.068467 -1.407996 0.052468 16107.9 2933.3 34456.6 27.61 5.43 84.25 -13.50 18136.3
2015/02/15.05:00:00 74.0 -0.800517 0.711407 -0.118260 -0.818534 0.552712 -0.000019 0.081469 -1.407782 0.053733 16118.5 2972.8 34435.0 27.59 5.46 84.66 -13.19 18374.8
2015/02/16.05:00:00 75.0 -0.811449 0.699843 -0.119029 -0.828322 0.538302 -0.000018 0.094462 -1.407420 0.054992 16128.8 3012.2 34412.4 27.58 5.49 85.07 -12.89 18613.1
2015/02/17.05:00:00 76.0 -0.822190 0.688115 -0.119769 -0.837856 0.523726 -0.000017 0.107446 -1.406910 0.056245 16138.9 3051.6 34389.1 27.56 5.52 85.49 -12.59 18851.3
2015/02/18.05:00:00 77.0 -0.832737 0.676225 -0.120481 -0.847132 0.508988 -0.000016 0.120418 -1.406252 0.057492 16148.6 3090.8 34364.8 27.54 5.56 85.91 -12.30 19089.3
2015/02/19.05:00:00 78.0 -0.843088 0.664175 -0.121164 -0.856146 0.494092 -0.000015 0.133378 -1.405446 0.058733 16158.0 3130.0 34339.7 27.52 5.59 86.34 -12.00 19327.2
2015/02/20.05:00:00 79.0 -0.853241 0.651969 -0.121819 -0.864897 0.479044 -0.000014 0.146323 -1.404493 0.059968 16167.1 3169.1 34313.8 27.50 5.62 86.78 -11.70 19564.9
2015/02/21.05:00:00 80.0 -0.863194 0.639611 -0.122446 -0.873381 0.463849 -0.000013 0.159254 -1.403392 0.061197 16175.9 3208.0 34286.9 27.49 5.65 87.22 -11.41 19802.5
2015/02/22.05:00:00 81.0 -0.872944 0.627103 -0.123044 -0.881596 0.448512 -0.000012 0.172167 -1.402145 0.062419 16184.5 3246.9 34259.2 27.47 5.69 87.67 -11.11 20039.9
2015/02/23.05:00:00 82.0 -0.882491 0.614448 -0.123613 -0.889539 0.433038 -0.000011 0.185063 -1.400751 0.063635 16192.7 3285.6 34230.7 27.46 5.72 88.13 -10.82 20277.2
